Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Att,Cmp%,Tot,Prg,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,TklW,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,Fld,Def,GCA,GCA90,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Avg,Opp,Stp,Stp%,#OPA,#OPA/90
Daniel Lovitz,us USA,DF,Nashville SC,32,1991,28,25,2269,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06,0.06,1.19,4.72,2.54,0.0,0.06,0.06,Matches,2024,25.2,42.9,56.3,76.3,848.2,339.8,0.0,0.1,-0.06,0.95,3.81,0.99,0.6,0.0,0.12,0.0,0.0,0.12,0.0,0.0,,22.0,0.0,0.0,0.0,0.01,0.0,0.0,63.5,3.85,22.4,30.3,11.3,0.32,63.5,0.24,37.5,0.32,50.0,30.1,0.04,0.44,0.24,38.4,1.47,1.15,56.5,0.79,0.83,0.48,1.03,2.5,2.42,0.04,2.14,2.14,0.0,0.12,0.0,0.12,0.12,0.0,0.83,0.83,0.0,2.9,1.03,1.15,0.0,0.0,0.0,3.61,1.19,68.2,,,,,,,,,,,,,,,,,
Damion Lowe,jm JAM,DF,Philadelphia Union,30,1993,12,12,964,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.07,0.07,0.01,0.09,0.37,2.24,0.28,0.0,0.09,0.09,Matches,2024,10.7,35.4,45.7,77.5,754.3,303.7,0.0,0.02,-0.01,0.37,2.62,0.09,0.0,0.0,1.12,0.19,16.7,1.12,0.19,0.0,0.0,17.0,0.0,0.0,0.0,0.07,-0.07,-0.07,59.5,7.48,31.6,24.4,4.11,1.12,59.5,0.09,25.0,0.28,75.0,28.2,0.0,0.65,0.28,31.5,1.78,1.68,68.4,0.56,2.15,1.31,1.78,3.55,4.77,0.0,1.12,1.12,0.0,0.0,0.19,0.0,0.0,0.0,1.87,0.93,0.28,0.19,1.78,1.68,0.0,0.0,0.0,5.7,3.18,65.4,,,,,,,,,,,,,,,,,
Eduard Löwen,de GER,MF,St. Louis,27,1997,23,21,1858,20.6,0.24,0.1,0.34,0.1,0.15,0.19,0.15,0.0,0.26,0.11,0.23,0.34,2.86,7.96,2.82,0.19,0.49,0.34,Matches,2024,20.6,49.2,66.0,74.6,891.3,349.4,0.1,0.29,-0.14,2.18,7.18,1.8,0.29,0.24,2.38,0.63,26.5,2.37,0.63,0.04,0.15,27.4,0.53,0.15,0.19,0.05,-0.01,-0.01,79.1,1.55,13.6,43.3,23.3,2.09,78.9,1.31,42.2,1.46,46.9,45.5,0.78,1.6,1.41,53.1,2.14,1.5,44.0,1.36,1.36,1.02,0.58,2.72,0.68,0.1,4.42,4.41,0.1,0.15,0.05,0.39,0.39,0.0,1.75,1.26,0.1,5.73,0.58,1.5,0.0,0.0,0.0,6.99,0.68,56.0,,,,,,,,,,,,,,,,,
Diego Luna,us USA,FW,Real Salt Lake,20,2003,31,26,2207,24.5,0.33,0.33,0.65,0.33,0.0,0.0,0.2,0.0,0.25,0.25,0.24,0.49,2.41,4.86,5.96,0.65,0.49,0.49,Matches,2024,24.5,36.9,45.6,80.9,589.3,135.8,0.33,0.18,0.09,2.12,3.43,1.22,0.12,0.33,2.29,0.9,39.3,2.28,0.9,0.14,0.36,19.8,0.08,0.0,0.0,0.12,0.07,0.07,57.4,0.53,5.02,28.6,24.4,3.47,57.4,1.47,44.4,1.59,48.1,34.7,0.9,2.78,1.67,42.5,1.43,0.9,50.0,0.49,1.06,0.98,0.53,1.96,0.45,0.0,4.45,4.45,0.33,0.29,0.04,0.45,0.45,0.0,1.27,1.35,0.0,2.16,0.53,0.9,0.0,0.0,0.0,4.08,0.37,37.5,,,,,,,,,,,,,,,,,
Jack Lynn,us USA,"FW,MF",Orlando City,24,2000,11,2,256,2.8,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.89,0.89,0.0,0.89,1.43,1.07,6.07,0.7,0.86,0.86,Matches,2024,2.8,16.1,23.9,67.2,200.7,44.3,0.0,0.04,0.0,0.0,0.36,0.71,0.36,0.71,2.14,1.07,50.0,2.11,1.05,0.33,0.67,7.6,0.0,0.0,0.0,0.41,-0.18,-0.18,34.3,0.71,4.29,15.0,15.0,4.29,34.3,0.36,20.0,1.43,80.0,18.6,0.71,2.14,3.21,24.6,0.71,0.71,16.7,1.79,0.71,0.36,0.0,0.71,0.71,0.0,0.36,0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.71,2.14,1.43,0.0,0.71,0.0,0.0,0.0,2.5,1.79,29.4,,,,,,,,,,,,,,,,,
Larrys Mabiala,cd COD,DF,Portland Timbers,36,1987,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,Matches,2024,0.5,74.0,82.0,90.2,1258.0,556.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,10.8,0.0,0.0,0.0,0.04,0.0,0.0,94.0,8.0,48.0,44.0,2.0,2.0,94.0,0.0,,0.0,,52.0,0.0,2.0,2.0,64.0,0.0,0.0,,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,,,,,,,,,,,,,,,,,
Aimé Mabika,zm ZAM,DF,Toronto FC,25,1998,12,3,464,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.1,0.1,0.0,0.1,0.19,2.69,0.19,0.0,0.1,0.1,Matches,2024,5.2,36.5,44.4,82.3,704.0,299.6,0.0,0.0,0.0,0.19,1.54,0.19,0.0,0.0,0.77,0.0,0.0,0.78,0.0,0.0,,13.2,0.0,0.0,0.0,0.12,-0.1,-0.1,56.2,9.04,31.0,21.9,3.46,1.15,56.2,0.38,66.7,0.19,33.3,27.7,0.0,0.77,0.58,29.4,1.15,0.77,0.0,0.19,1.73,0.58,0.96,2.12,5.58,0.19,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.38,0.0,0.19,0.96,0.77,0.0,0.19,0.0,6.54,4.04,72.4,,,,,,,,,,,,,,,,,
Lukas MacNaughton,ca CAN,DF,Nashville SC,28,1995,6,5,411,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.09,0.09,0.02,0.11,0.22,3.26,0.22,0.0,0.12,0.12,Matches,2024,4.6,51.1,60.4,84.5,1144.3,416.7,0.0,0.02,-0.02,0.22,2.17,0.0,0.0,0.0,0.87,0.43,50.0,0.88,0.44,0.0,0.0,7.4,0.0,0.0,0.0,0.11,-0.09,-0.09,70.7,10.4,40.2,26.1,4.57,0.65,70.7,0.0,,0.0,,32.0,0.0,0.43,0.0,42.2,1.3,0.87,40.0,0.65,1.09,0.22,0.87,2.17,5.22,0.0,1.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.65,0.0,0.43,0.87,0.87,0.0,0.0,0.0,3.26,2.39,50.0,,,,,,,,,,,,,,,,,
Talles Magno,br BRA,"FW,MF",NYCFC,21,2002,3,0,68,0.8,1.25,0.0,1.25,0.0,1.25,1.25,0.0,0.0,1.13,0.13,0.13,0.25,2.5,3.75,10.0,0.0,1.3,0.26,Matches,2024,0.8,26.3,37.5,70.0,288.8,73.8,0.0,0.13,-0.13,1.25,0.0,2.5,0.0,1.25,2.5,1.25,50.0,2.65,1.32,0.0,0.0,20.4,0.0,1.25,1.25,0.04,0.13,-0.13,56.3,3.75,8.75,15.0,32.5,7.5,55.0,0.0,0.0,1.25,100.0,25.0,1.25,5.0,1.25,37.5,6.25,6.25,75.0,1.25,0.0,0.0,0.0,6.25,3.75,0.0,2.5,2.65,0.0,1.25,0.0,1.25,1.32,0.0,2.5,1.25,0.0,1.25,0.0,6.25,1.25,0.0,0.0,1.25,6.25,62.5,,,,,,,,,,,,,,,,,
Jack Maher,us USA,DF,Nashville SC,24,1999,28,27,2428,27.0,0.04,0.0,0.04,0.04,0.0,0.0,0.07,0.0,0.05,0.05,0.0,0.05,0.15,1.48,0.15,0.04,0.05,0.05,Matches,2024,27.0,49.1,55.5,88.5,1034.6,343.6,0.0,0.01,0.0,0.04,1.59,0.07,0.0,0.04,0.26,0.07,28.6,0.26,0.07,0.14,0.5,5.8,0.0,0.0,0.0,0.19,-0.01,-0.01,64.5,9.48,38.5,24.9,1.22,0.59,64.5,0.0,,0.0,,33.4,0.0,0.22,0.11,45.1,1.15,0.78,73.3,0.3,1.48,0.44,1.04,2.19,4.11,0.0,0.33,0.33,0.0,0.0,0.04,0.04,0.04,0.0,0.89,0.07,0.0,0.11,1.04,0.78,0.0,0.07,0.0,2.93,1.74,54.0,,,,,,,,,,,,,,,,,
Cassius Mailula,za RSA,"MF,DF",Toronto FC,22,2001,2,0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,20.0,0.0,1.69,1.69,Matches,2024,0.2,30.0,50.0,60.0,360.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,50.0,9.47,4.74,0.0,0.0,13.6,0.0,0.0,0.0,0.18,-2.0,-2.0,90.0,0.0,15.0,25.0,50.0,15.0,90.0,5.0,50.0,5.0,50.0,60.0,5.0,10.0,0.0,65.0,0.0,0.0,,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,4.74,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,5.0,100.0,,,,,,,,,,,,,,,,,
Adilson Malanda,fr FRA,DF,Charlotte,22,2001,32,32,2880,32.0,0.03,0.0,0.03,0.03,0.0,0.0,0.09,0.0,0.04,0.04,0.02,0.05,0.22,2.94,0.19,0.03,0.05,0.05,Matches,2024,32.0,48.2,56.5,85.4,1067.4,440.5,0.0,0.01,-0.02,0.16,2.75,0.06,0.0,0.03,0.19,0.09,50.0,0.19,0.09,0.17,0.33,17.2,0.03,0.0,0.0,0.2,-0.01,-0.01,65.6,10.2,36.9,28.1,1.09,0.44,65.6,0.22,70.0,0.06,20.0,37.3,0.0,0.22,0.19,44.3,1.19,0.72,71.1,0.34,1.44,0.41,1.06,2.25,4.81,0.06,0.56,0.56,0.0,0.03,0.06,0.09,0.09,0.0,0.69,0.66,0.0,0.16,1.06,0.72,0.0,0.03,0.0,4.66,1.5,52.7,,,,,,,,,,,,,,,,,
Elias Manoel,br BRA,FW,NY Red Bulls,22,2001,33,17,1547,17.2,0.47,0.06,0.52,0.41,0.06,0.12,0.06,0.0,0.62,0.52,0.07,0.6,1.16,1.16,5.52,0.47,0.69,0.6,Matches,2024,17.2,11.2,17.4,64.5,171.6,28.8,0.06,0.06,-0.01,0.58,0.81,0.29,0.0,0.47,3.37,1.16,34.5,3.37,1.16,0.12,0.35,16.9,0.0,0.06,0.12,0.16,-0.15,-0.12,27.0,0.17,0.87,10.6,15.9,4.94,26.9,0.47,34.8,0.76,56.5,15.9,0.76,2.09,0.99,19.2,0.35,0.12,20.0,0.7,0.7,0.64,0.35,0.7,0.23,0.0,2.38,2.39,0.17,0.35,0.0,0.35,0.35,0.0,1.05,0.87,0.58,0.29,0.35,0.12,0.12,0.0,0.0,1.74,1.98,38.2,,,,,,,,,,,,,,,,,
Dominik Marczuk,pl POL,FW,Real Salt Lake,20,2003,8,5,452,5.0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.16,0.16,0.26,0.42,4.6,5.0,14.0,0.4,0.41,0.41,Matches,2024,5.0,25.2,34.4,73.3,376.2,125.4,0.2,0.14,-0.06,1.4,2.6,1.8,0.6,0.2,1.2,0.6,50.0,1.19,0.6,0.17,0.33,14.2,0.0,0.0,0.0,0.13,0.04,0.04,47.4,1.2,6.0,17.2,25.2,4.0,47.4,1.2,33.3,2.2,61.1,26.4,2.0,3.0,1.0,34.2,1.6,1.4,57.1,0.6,0.4,0.4,0.4,2.0,1.6,0.2,4.4,4.38,0.4,0.4,0.2,0.6,0.6,0.0,0.2,2.2,0.4,3.0,0.4,1.4,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,
Paul Marie,fr FRA,"DF,FW",SJ Earthquakes,28,1995,30,16,1537,17.1,0.18,0.06,0.23,0.18,0.0,0.0,0.23,0.0,0.1,0.1,0.13,0.23,2.4,4.04,5.15,0.23,0.23,0.23,Matches,2024,17.1,35.4,45.4,78.0,587.3,217.5,0.06,0.14,-0.07,0.88,2.63,1.11,0.35,0.18,0.58,0.35,60.0,0.59,0.35,0.3,0.5,18.3,0.06,0.0,0.0,0.17,0.08,0.08,58.8,3.39,19.5,25.6,14.6,1.4,58.8,0.88,44.1,1.05,52.9,27.7,0.35,1.29,0.53,32.0,2.92,1.87,50.0,1.93,1.75,1.4,1.4,4.33,3.39,0.0,1.87,1.87,0.12,0.06,0.06,0.06,0.06,0.0,1.7,1.17,0.12,1.93,1.4,1.87,0.0,0.06,0.0,4.85,0.41,29.2,,,,,,,,,,,,,,,,,
