Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Att,Cmp%,Tot,Prg,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,TklW,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,Fld,Def,GCA,GCA90,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Avg,Opp,Stp,Stp%,#OPA,#OPA/90
Liel Abada,il ISR,FW,Charlotte,22,2001,24,20,1637,18.2,0.38,0.05,0.44,0.38,0.0,0.0,0.11,0.0,0.34,0.34,0.16,0.51,4.4,3.46,8.57,0.44,0.5,0.5,Matches,2024,18.2,18.1,25.5,71.0,267.7,86.6,0.05,0.2,-0.11,1.54,1.37,1.54,0.27,0.38,2.91,1.54,52.8,2.91,1.54,0.13,0.25,16.5,0.0,0.0,0.0,0.12,0.04,0.04,35.2,0.22,3.02,10.7,22.3,5.16,35.2,1.15,41.2,1.54,54.9,24.2,2.2,1.87,1.87,26.4,0.55,0.44,31.3,0.6,0.55,0.55,0.27,0.82,0.22,0.0,3.3,3.3,0.27,0.11,0.0,0.22,0.22,0.0,0.49,0.6,0.71,2.36,0.27,0.44,0.0,0.0,0.0,3.74,0.11,11.1,,,,,,,,,,,,,,,,,
Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,2,0,31,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,10.0,10.0,0.0,0.0,0.0,Matches,2024,0.3,76.7,100.0,76.7,1206.7,380.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,110.0,0.0,13.3,66.7,33.3,0.0,110.0,3.33,100.0,0.0,0.0,63.3,0.0,0.0,0.0,83.3,6.67,3.33,0.0,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.33,0.0,3.33,0.0,3.33,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,
Luis Abram,pe PER,DF,Atlanta Utd,27,1996,19,11,1102,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.06,0.06,0.01,0.07,0.16,2.87,0.25,0.0,0.07,0.07,Matches,2024,12.2,49.1,55.1,89.1,1003.8,410.2,0.0,0.01,-0.01,0.25,2.46,0.08,0.08,0.0,0.66,0.08,12.5,0.65,0.08,0.0,0.0,9.4,0.0,0.0,0.0,0.09,-0.06,-0.06,63.7,9.34,35.1,26.6,2.46,1.56,63.7,0.16,66.7,0.08,33.3,35.1,0.0,0.25,0.08,44.5,0.66,0.41,37.5,0.41,0.9,0.16,0.74,1.39,4.1,0.08,0.98,0.98,0.0,0.0,0.08,0.0,0.0,0.0,0.41,0.16,0.0,0.16,0.74,0.41,0.0,0.0,0.0,3.44,1.39,50.0,,,,,,,,,,,,,,,,,
Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,18,15,1278,14.2,0.0,0.07,0.07,0.0,0.0,0.0,0.21,0.0,0.03,0.03,0.01,0.04,0.14,2.89,0.07,0.07,0.04,0.04,Matches,2024,14.2,43.0,47.7,90.1,774.6,245.1,0.07,0.01,0.06,0.14,2.04,0.0,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.0,,7.6,0.0,0.0,0.0,0.07,-0.03,-0.03,57.1,6.27,27.7,28.2,1.55,0.99,57.1,0.0,,0.0,,32.3,0.0,0.28,0.0,38.4,0.77,0.56,54.5,0.35,1.06,0.07,1.34,2.11,4.23,0.0,0.35,0.35,0.0,0.0,0.07,0.14,0.14,0.0,0.85,0.35,0.0,0.0,1.34,0.56,0.0,0.07,0.07,2.61,2.46,64.8,,,,,,,,,,,,,,,,,
Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,34,27,2302,25.6,0.12,0.08,0.2,0.12,0.0,0.0,0.23,0.0,0.04,0.04,0.11,0.15,0.82,4.65,1.76,0.2,0.15,0.15,Matches,2024,25.6,41.3,51.7,79.9,724.3,195.5,0.08,0.11,-0.03,1.13,3.79,0.9,0.16,0.12,0.9,0.27,30.4,0.9,0.27,0.13,0.43,26.3,0.12,0.0,0.0,0.05,0.07,0.07,59.8,0.66,10.7,34.6,14.8,0.55,59.8,0.63,50.0,0.59,46.9,33.4,0.12,1.17,0.74,41.3,1.84,1.33,36.7,1.21,0.78,0.66,1.17,3.01,0.47,0.04,2.58,2.58,0.12,0.04,0.04,0.16,0.16,0.0,1.56,0.66,0.0,3.44,1.17,1.33,0.0,0.0,0.0,5.27,0.47,38.7,,,,,,,,,,,,,,,,,
Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,32,29,2704,30.0,0.47,0.53,1.0,0.37,0.1,0.13,0.23,0.0,0.33,0.22,0.39,0.61,4.03,8.33,7.9,0.9,0.72,0.61,Matches,2024,30.0,40.5,55.3,73.3,685.3,242.3,0.53,0.44,0.14,3.63,5.07,3.5,0.4,0.47,2.67,0.8,30.0,2.66,0.8,0.14,0.46,21.4,0.4,0.1,0.13,0.08,0.14,0.14,69.3,0.27,3.67,29.1,37.4,5.0,69.2,2.87,40.4,4.0,56.3,43.0,1.8,2.6,1.73,50.9,1.3,0.83,51.4,0.57,0.9,0.87,0.47,1.77,0.17,0.0,7.47,7.46,0.87,0.23,0.1,0.97,0.97,0.0,1.57,1.67,0.77,5.23,0.47,0.83,0.03,0.0,0.0,4.0,0.3,50.0,,,,,,,,,,,,,,,,,
Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,11,1,254,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.14,0.14,0.0,0.14,1.07,1.07,5.36,0.0,0.15,0.15,Matches,2024,2.8,12.1,18.6,65.4,148.2,16.8,0.0,0.04,0.0,0.36,1.07,0.36,0.0,0.0,1.79,1.07,60.0,1.77,1.06,0.0,0.0,14.3,0.0,0.0,0.0,0.08,-0.14,-0.14,28.6,0.0,2.86,13.2,12.9,2.14,28.6,0.36,33.3,0.71,66.7,13.2,0.71,2.14,0.0,17.9,1.79,1.07,0.0,0.71,1.43,1.43,0.71,2.5,0.36,0.0,1.43,1.42,0.36,0.0,0.0,0.36,0.35,0.0,2.86,0.36,0.36,1.07,0.71,1.07,0.0,0.0,0.0,1.79,1.79,26.3,,,,,,,,,,,,,,,,,
Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,16,8,751,8.3,0.12,0.24,0.36,0.12,0.0,0.0,0.48,0.0,0.08,0.08,0.39,0.47,3.73,4.7,11.3,0.36,0.46,0.46,Matches,2024,8.3,48.0,58.1,82.6,763.4,228.2,0.24,0.33,-0.14,1.69,2.89,2.29,1.08,0.12,1.08,0.36,33.3,1.08,0.36,0.11,0.33,13.3,0.0,0.0,0.0,0.08,0.04,0.04,66.5,2.41,8.55,31.7,26.4,3.13,66.5,0.36,42.9,0.12,14.3,43.0,0.48,1.81,0.12,53.7,0.6,0.24,60.0,0.24,0.6,0.24,0.6,1.2,2.29,0.0,2.53,2.51,0.0,0.0,0.0,0.36,0.36,0.0,1.57,0.6,0.24,4.82,0.6,0.24,0.0,0.0,0.0,3.86,1.57,61.9,,,,,,,,,,,,,,,,,
Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,7,0,137,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.0,1.0,4.67,2.67,6.67,0.0,0.98,0.98,Matches,2024,1.5,14.0,22.7,61.8,243.3,77.3,0.0,0.07,0.0,0.67,0.67,1.33,0.0,0.0,6.67,3.33,50.0,6.57,3.28,0.0,0.0,14.8,0.0,0.0,0.0,0.15,-0.93,-0.93,44.0,0.0,3.33,17.3,25.3,8.67,44.0,0.67,25.0,2.0,75.0,26.0,2.67,2.67,2.0,28.0,4.0,2.67,100.0,0.0,0.67,0.67,2.0,6.0,0.0,0.0,3.33,3.28,0.67,0.0,0.0,0.67,0.66,0.0,2.0,0.67,0.0,2.0,2.0,2.67,0.0,0.0,0.0,6.0,2.67,30.8,,,,,,,,,,,,,,,,,
Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,17,4,596,6.6,0.3,0.15,0.45,0.3,0.0,0.0,0.3,0.0,0.33,0.33,0.12,0.45,2.42,1.36,7.73,0.45,0.45,0.45,Matches,2024,6.6,13.5,18.9,71.2,189.4,32.7,0.15,0.09,0.03,1.21,1.21,0.76,0.15,0.3,3.94,0.91,23.1,3.93,0.91,0.08,0.33,16.6,0.0,0.0,0.0,0.09,-0.03,-0.03,33.6,0.91,2.27,11.5,20.5,5.91,33.6,0.91,35.3,1.36,52.9,19.7,1.52,4.39,1.67,24.7,0.45,0.15,,0.0,0.45,0.3,0.3,0.76,0.91,0.0,1.82,1.81,0.3,0.0,0.0,0.3,0.3,0.0,1.82,0.45,0.45,0.61,0.3,0.15,0.0,0.0,0.0,2.12,3.03,55.6,,,,,,,,,,,,,,,,,
Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,11,1,247,2.7,0.74,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.26,0.26,0.07,0.37,2.59,2.96,11.5,0.73,0.35,0.35,Matches,2024,2.7,23.3,36.3,64.3,336.7,75.9,0.0,0.11,-0.07,1.85,1.48,1.11,0.0,0.74,1.85,0.74,40.0,1.82,0.73,0.4,1.0,15.9,0.0,0.0,0.0,0.14,0.48,0.48,51.5,1.11,7.04,22.6,23.0,4.81,51.5,1.85,71.4,0.74,28.6,29.3,0.74,3.33,0.74,35.2,2.96,2.22,28.6,1.85,0.74,0.74,2.22,5.19,0.74,0.0,4.81,4.74,0.74,0.74,0.0,0.74,0.73,0.0,1.85,2.96,0.37,1.85,2.22,2.22,0.37,0.0,0.0,3.7,1.48,30.8,,,,,,,,,,,,,,,,,
Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,24,9,795,8.8,0.45,0.23,0.68,0.45,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,3.3,1.93,11.4,0.68,0.39,0.39,Matches,2024,8.8,18.9,25.9,72.8,256.8,55.6,0.23,0.08,0.13,1.48,1.59,0.11,0.11,0.45,3.52,1.14,32.3,3.51,1.13,0.13,0.4,15.3,0.0,0.0,0.0,0.08,0.16,0.16,44.8,0.8,3.75,15.0,27.2,6.14,44.8,4.43,52.0,3.98,46.7,28.5,1.7,2.73,2.16,30.9,2.16,0.68,45.5,1.36,2.27,2.27,0.23,2.39,0.57,0.0,3.75,3.73,0.8,0.23,0.0,0.11,0.11,0.0,1.93,1.36,0.45,0.8,0.23,0.68,0.0,0.0,0.0,3.98,1.14,37.0,,,,,,,,,,,,,,,,,
William Agada,ng NGA,FW,Sporting KC,24,1999,32,20,1732,19.2,0.52,0.16,0.68,0.52,0.0,0.1,0.05,0.05,0.76,0.68,0.1,0.78,0.94,1.2,6.15,0.68,0.86,0.78,Matches,2024,19.2,16.7,21.8,76.6,245.9,27.1,0.16,0.07,0.06,1.35,0.47,0.31,0.1,0.52,4.32,1.25,28.9,4.31,1.25,0.12,0.42,14.2,0.0,0.0,0.1,0.16,-0.24,-0.16,32.9,0.42,1.04,12.4,19.6,6.41,32.8,0.31,28.6,0.73,66.7,19.4,0.73,2.92,1.35,25.2,0.63,0.26,33.3,0.1,0.36,0.31,0.26,0.89,0.26,0.05,2.71,2.7,0.05,0.21,0.05,0.31,0.31,0.0,2.4,0.99,0.99,0.42,0.26,0.26,0.0,0.0,0.0,2.34,2.19,47.2,,,,,,,,,,,,,,,,,
London Aghedo,us USA,DF,FC Cincinnati,23,2000,2,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,0.1,70.0,90.0,77.8,1220.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,100.0,20.0,50.0,50.0,0.0,0.0,100.0,0.0,,0.0,,70.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,10,0,107,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.17,0.42,4.17,11.7,9.17,0.0,0.45,0.45,Matches,2024,1.2,73.3,82.5,88.9,952.5,312.5,0.0,0.17,-0.17,1.67,8.33,0.83,0.0,0.0,2.5,0.0,0.0,2.52,0.0,0.0,,14.1,0.0,0.0,0.0,0.11,-0.25,-0.25,98.3,0.83,16.7,48.3,33.3,5.83,98.3,0.0,,0.0,,50.8,1.67,3.33,0.83,75.8,4.17,0.83,40.0,2.5,0.0,0.0,0.83,5.0,2.5,0.0,4.17,4.17,0.0,0.83,0.0,0.83,0.83,0.0,0.83,1.67,0.0,0.83,0.83,0.83,0.0,0.0,0.0,7.5,2.5,75.0,,,,,,,,,,,,,,,,,
Patrick Agyemang,us USA,FW,Charlotte,23,2000,31,19,1838,20.4,0.49,0.15,0.64,0.49,0.0,0.0,0.2,0.05,0.4,0.4,0.07,0.46,2.4,1.37,4.61,0.64,0.46,0.46,Matches,2024,20.4,7.25,10.8,67.0,96.1,20.4,0.15,0.05,0.08,1.03,0.74,0.44,0.0,0.49,2.79,1.13,40.4,2.79,1.13,0.18,0.43,12.6,0.0,0.0,0.0,0.14,0.09,0.09,22.2,0.74,1.08,7.79,14.0,5.69,22.2,1.37,50.9,1.18,43.6,14.5,1.67,3.33,1.81,16.6,0.69,0.39,46.2,0.34,0.29,0.25,0.05,0.74,0.64,0.0,2.79,2.79,0.74,0.44,0.1,0.74,0.73,0.0,2.16,1.76,0.34,0.2,0.05,0.39,0.0,0.0,0.0,2.45,1.57,48.5,,,,,,,,,,,,,,,,,
Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,22,15,1350,15.0,0.07,0.0,0.07,0.07,0.0,0.0,0.2,0.0,0.07,0.07,0.19,0.25,4.87,4.47,9.8,0.07,0.25,0.25,Matches,2024,15.0,36.2,45.2,80.1,570.7,163.9,0.0,0.15,-0.19,1.6,2.27,1.53,0.4,0.07,1.07,0.27,25.0,1.07,0.27,0.06,0.25,16.9,0.07,0.0,0.0,0.06,0.0,0.0,56.9,1.67,7.93,24.0,26.1,3.33,56.9,1.93,56.9,1.13,33.3,36.7,1.53,2.2,1.4,40.0,1.87,1.13,42.9,1.33,1.33,1.33,1.6,3.47,1.07,0.0,3.47,3.47,0.4,0.13,0.0,0.27,0.27,0.0,1.27,2.53,0.2,3.07,1.6,1.13,0.0,0.0,0.0,6.2,0.2,25.0,,,,,,,,,,,,,,,,,
Forster Ajago,gh GHA,FW,Nashville SC,22,2001,12,3,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.33,0.33,0.14,0.48,0.95,0.71,6.67,0.0,0.48,0.48,Matches,2024,4.2,12.1,18.6,65.4,197.9,17.6,0.0,0.1,-0.14,0.95,0.71,0.48,0.48,0.0,2.38,0.71,30.0,2.37,0.71,0.0,0.0,12.9,0.0,0.0,0.0,0.14,-0.33,-0.33,33.1,1.19,2.38,12.1,18.8,4.29,33.1,0.71,42.9,0.71,42.9,16.9,0.24,5.24,1.19,23.3,1.9,0.71,66.7,0.48,0.95,0.95,0.95,2.86,0.95,0.0,1.9,1.9,0.24,0.24,0.0,0.0,0.0,0.0,2.62,1.43,1.19,1.19,0.95,0.71,0.0,0.0,0.0,2.38,3.33,48.3,,,,,,,,,,,,,,,,,
Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,21,20,1601,17.8,0.0,0.06,0.06,0.0,0.0,0.0,0.39,0.0,0.04,0.04,0.03,0.07,2.08,4.21,2.75,0.06,0.07,0.07,Matches,2024,17.8,46.1,57.2,80.6,790.2,294.2,0.06,0.06,0.03,0.51,2.3,0.67,0.11,0.0,0.56,0.11,20.0,0.56,0.11,0.0,0.0,20.5,0.0,0.0,0.0,0.08,-0.04,-0.04,70.4,4.94,27.2,31.6,12.1,0.79,70.4,0.67,52.2,0.56,43.5,32.0,0.17,1.12,0.73,37.4,2.92,1.46,53.3,1.18,1.01,0.73,1.8,4.72,3.88,0.0,1.74,1.74,0.0,0.06,0.17,0.28,0.28,0.0,1.18,1.85,0.0,1.35,1.8,1.46,0.0,0.0,0.0,5.39,2.08,55.2,,,,,,,,,,,,,,,,,
Matai Akinmboni,us USA,DF,D.C. United,17,2006,8,4,438,4.9,0.0,0.2,0.2,0.0,0.0,0.0,0.61,0.2,0.0,0.0,0.02,0.02,0.41,2.86,0.41,0.21,0.01,0.01,Matches,2024,4.9,36.1,43.7,82.7,706.5,274.5,0.2,0.02,0.18,0.2,2.04,0.41,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,53.9,6.33,24.3,25.3,4.29,0.0,53.9,0.0,,0.0,,28.2,0.0,0.0,0.2,30.6,2.04,1.43,83.3,0.2,1.43,0.61,2.04,4.08,3.47,0.0,0.61,0.62,0.0,0.0,0.0,0.2,0.21,0.2,1.43,0.2,0.2,0.61,2.04,1.43,0.0,0.2,0.0,2.86,0.82,44.4,,,,,,,,,,,,,,,,,
Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,5,0,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,0.0,3.0,5.0,0.0,0.66,0.66,Matches,2024,1.0,18.0,23.0,78.3,246.0,31.0,0.0,0.3,-0.3,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.07,0.0,0.0,,9.8,0.0,0.0,0.0,0.17,-0.3,-0.3,33.0,0.0,1.0,16.0,16.0,3.0,33.0,0.0,0.0,2.0,100.0,24.0,0.0,2.0,5.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,16.7,,,,,,,,,,,,,,,,,
Jordi Alba,es ESP,DF,Inter Miami,34,1989,28,24,2234,24.8,0.16,0.4,0.56,0.16,0.0,0.0,0.32,0.0,0.08,0.08,0.32,0.4,2.06,6.9,8.71,0.56,0.4,0.4,Matches,2024,24.8,63.0,77.8,81.0,1082.9,375.4,0.4,0.25,0.08,1.77,4.92,1.98,0.48,0.16,0.73,0.28,38.9,0.73,0.28,0.22,0.57,20.3,0.0,0.0,0.0,0.12,0.08,0.08,84.4,3.19,22.2,37.6,25.5,3.1,84.4,0.52,50.0,0.52,50.0,47.2,0.44,0.77,0.2,60.5,1.13,0.69,41.2,0.81,0.81,0.52,0.6,1.73,1.57,0.08,3.35,3.34,0.0,0.0,0.0,0.56,0.56,0.0,0.4,0.48,0.6,3.91,0.6,0.69,0.0,0.0,0.0,5.81,0.08,28.6,,,,,,,,,,,,,,,,,
Noah Allen,gr GRE,DF,Inter Miami,19,2004,18,8,927,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.01,0.01,0.01,0.02,1.36,3.2,0.58,0.0,0.02,0.02,Matches,2024,10.3,58.3,66.9,87.1,1025.9,328.1,0.0,0.02,-0.01,0.39,3.79,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,,10.9,0.0,0.0,0.0,0.07,-0.01,-0.01,77.5,8.16,41.1,32.3,4.47,0.39,77.5,0.19,50.0,0.19,50.0,48.7,0.1,0.97,0.68,55.4,2.33,1.46,63.2,0.68,1.75,0.97,0.87,3.2,3.3,0.1,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.87,0.0,0.49,0.87,1.46,0.0,0.1,0.0,5.63,0.49,29.4,,,,,,,,,,,,,,,,,
Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,20,11,836,9.3,0.22,0.22,0.43,0.22,0.0,0.0,0.32,0.0,0.1,0.1,0.16,0.26,0.65,2.58,6.56,0.43,0.26,0.26,Matches,2024,9.3,15.8,24.6,64.2,265.6,90.4,0.22,0.16,0.05,0.86,0.97,1.4,0.32,0.22,1.4,0.22,15.4,1.4,0.22,0.15,1.0,19.5,0.0,0.0,0.0,0.07,0.12,0.12,36.8,0.97,5.7,13.0,18.4,2.69,36.8,0.75,38.9,1.18,61.1,17.8,0.0,1.94,1.18,21.4,2.04,1.4,57.1,0.97,1.4,1.4,0.65,2.69,0.75,0.0,1.83,1.83,0.32,0.0,0.0,0.22,0.22,0.0,2.04,1.08,0.22,2.15,0.65,1.4,0.0,0.0,0.0,3.76,1.4,56.5,,,,,,,,,,,,,,,,,
Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,17,16,1392,15.5,0.39,0.06,0.45,0.26,0.13,0.13,0.32,0.0,0.37,0.26,0.23,0.49,4.0,9.48,4.97,0.32,0.59,0.49,Matches,2024,15.5,53.2,67.1,79.3,962.8,334.1,0.06,0.25,-0.16,2.77,6.97,2.26,0.26,0.39,3.35,1.16,34.6,3.36,1.16,0.08,0.22,22.3,0.45,0.13,0.13,0.08,0.02,-0.01,77.4,0.45,8.39,38.1,32.7,2.97,77.3,3.1,59.3,1.81,34.6,47.8,1.1,1.87,2.19,59.4,1.16,0.58,35.0,0.84,0.32,0.32,0.06,1.23,0.32,0.06,7.87,7.89,0.58,0.26,0.0,0.77,0.78,0.0,0.65,1.35,0.0,5.29,0.06,0.58,0.0,0.0,0.0,5.68,0.06,11.1,,,,,,,,,,,,,,,,,
Fernando Álvarez,co COL,DF,CF Montréal,20,2003,27,24,2140,23.8,0.04,0.04,0.08,0.04,0.0,0.0,0.13,0.0,0.01,0.01,0.02,0.04,0.8,2.61,0.17,0.08,0.04,0.04,Matches,2024,23.8,53.2,61.1,87.1,956.2,306.4,0.04,0.02,0.02,0.21,2.77,0.04,0.0,0.04,0.17,0.04,25.0,0.17,0.04,0.25,1.0,13.2,0.0,0.0,0.0,0.09,0.03,0.03,69.6,6.97,35.6,31.7,2.52,0.25,69.6,0.08,40.0,0.13,60.0,41.3,0.0,0.25,0.13,49.9,1.26,0.88,70.0,0.38,0.97,0.42,1.34,2.61,3.66,0.0,0.63,0.63,0.0,0.0,0.04,0.08,0.08,0.0,0.67,0.21,0.0,0.08,1.34,0.88,0.0,0.0,0.0,3.28,1.18,47.5,,,,,,,,,,,,,,,,,
Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9,9,809,9.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.19,0.22,2.33,4.44,3.44,0.44,0.22,0.22,Matches,2024,9.0,40.2,52.7,76.4,705.2,242.9,0.44,0.16,0.26,1.44,4.22,1.44,0.89,0.0,0.89,0.11,12.5,0.89,0.11,0.0,0.0,26.9,0.0,0.0,0.0,0.03,-0.03,-0.03,64.4,4.89,19.8,28.4,16.8,0.78,64.4,0.11,33.3,0.22,66.7,30.8,0.22,0.44,0.22,36.3,1.78,1.22,47.4,1.11,2.11,1.67,1.44,3.22,3.67,0.0,2.67,2.67,0.0,0.11,0.11,0.44,0.44,0.0,0.67,0.67,0.11,4.11,1.44,1.22,0.0,0.0,0.0,4.67,0.78,31.8,,,,,,,,,,,,,,,,,
Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,20,18,1608,17.9,0.06,0.11,0.17,0.06,0.0,0.0,0.22,0.0,0.05,0.05,0.06,0.11,1.12,5.75,1.51,0.17,0.11,0.11,Matches,2024,17.9,38.2,47.5,80.4,694.7,216.8,0.11,0.06,0.05,0.95,6.98,0.5,0.11,0.06,1.17,0.5,42.9,1.18,0.5,0.05,0.11,26.6,0.0,0.0,0.0,0.04,0.01,0.01,56.9,1.68,11.6,34.4,11.5,0.39,56.9,0.34,66.7,0.11,22.2,33.2,0.06,0.84,0.39,38.4,1.9,1.34,38.2,1.17,1.06,0.84,1.34,3.24,1.28,0.0,2.23,2.24,0.06,0.17,0.11,0.22,0.22,0.0,1.51,1.06,0.0,0.78,1.34,1.34,0.0,0.0,0.0,5.08,0.5,50.0,,,,,,,,,,,,,,,,,
Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,31,26,2295,25.5,0.04,0.08,0.12,0.04,0.0,0.0,0.27,0.0,0.0,0.0,0.06,0.06,0.94,5.53,1.06,0.12,0.06,0.06,Matches,2024,25.5,65.5,75.1,87.3,1154.4,484.2,0.08,0.06,0.02,0.67,7.33,0.75,0.2,0.04,0.12,0.04,33.3,0.12,0.04,0.33,1.0,20.0,0.0,0.0,0.0,0.04,0.04,0.04,84.2,4.78,34.3,42.7,7.96,0.51,84.2,0.47,80.0,0.12,20.0,48.4,0.04,0.82,0.24,57.8,1.88,1.06,60.0,0.78,1.14,0.75,1.88,3.76,2.47,0.04,1.57,1.57,0.0,0.0,0.0,0.2,0.2,0.0,0.59,0.59,0.0,0.67,1.88,1.06,0.0,0.0,0.0,5.14,1.41,55.4,,,,,,,,,,,,,,,,,
