segment,r2_score,mae
FW_DP,-0.5894163608940792,1263070.4745999998
MF_DP,-0.16543012873756258,1132354.624
MF_TAM,0.7686798641364607,150664.104
MF_Standard,-2.1265782141791023,133734.08333333334
DF_TAM,-0.035216632734811126,213191.55
DF_Standard,0.08894806965934954,162313.0672727273
